trade;r_trade;r_acumulado;drawdown_r
1;0,46;0.4599999999998181;0.0
2;-0,26;0.19999999999977264;-0.2600000000000455
3;-1,00;-0.8000000000002274;-1.2600000000000455
4;0,04;-0.7600000000000455;-1.2199999999998636
5;-1,00;-1.7600000000000455;-2.219999999999864
6;-1,00;-2.7600000000000455;-3.219999999999864
7;0,38;-2.380000000000023;-2.839999999999841
8;1,98;-0.40000000000011404;-0.8599999999999322
9;0,42;0.020000000000090612;-0.4399999999997275
10;0,92;0.9399999999997268;0.0
11;1,00;1.9399999999997268;0.0
12;-1,00;0.9399999999997268;-1.0
13;0,46;1.399999999999545;-0.5400000000001819
14;0,60;1.9999999999994311;0.0
15;-1,00;0.9999999999994311;-1.0
16;6,94;7.939999999997452;0.0
17;12,42;20.359999999994244;0.0
18;4,74;25.099999999993063;0.0
19;1,36;26.459999999992995;0.0
20;0,88;27.33999999999245;0.0
21;0,12;27.459999999992426;0.0
22;-1,00;26.459999999992426;-1.0
23;1,90;28.35999999999197;0.0
24;-1,00;27.35999999999197;-1.0
