activo;temporalidad;direccion_analizada;familia_salida;entryLeadBars;hora_referencia_jst;sl_lookback;tipo_tp;tp1_r;tp2_r;tp3_r;sl_pips;hora_cierre_objetivo_jst;total_trades;total_trades_ejecutados;win_rate;profit_factor;r_neto_total;promedio_r_por_trade;max_drawdown_r;racha_max_perdidas;avg_r_ganadoras;avg_r_perdedoras;payoff_ratio;fecha_inicio_datos;fecha_fin_datos;cantidad_velas;dias_historico;meses_historico;muestra_menor_1_anio;trades_por_1000_velas;r_por_1000_velas;score_robustez
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;parcial_1.1_1.5_2.0;1,10;1,50;2,00;;;22;22;54,55%;1,07;0,73;0,03;-3,00;3;0,89;-1,00;0,89;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,01;21,96
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;parcial_1.5_2.0_3.0;1,50;2,00;3,00;;;22;22;36,36%;1,00;0,00;0,00;-4,83;4;1,75;-1,00;1,75;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,00;19,21
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;parcial_2.0_3.0_4.0;2,00;3,00;4,00;;;22;22;31,82%;1,16;2,33;0,11;-4,00;4;2,48;-1,00;2,48;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,02;23,41
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;tp_unico_1.5;1,50;;;;;22;22;36,36%;0,86;-2,00;-0,09;-5,50;4;1,50;-1,00;1,50;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;-0,02;17,63
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;tp_unico_2.0;2,00;;;;;22;22;31,82%;0,93;-1,00;-0,05;-5,00;4;2,00;-1,00;2,00;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;-0,01;18,57
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;tp_unico_3.0;3,00;;;;;22;22;27,27%;1,12;2,00;0,09;-4,00;4;3,00;-1,00;3,00;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,02;22,83
USDJPY;1m;cortos / SELL;TP/SL;0;09:55;33;tp_unico_4.0;4,00;;;;;22;22;22,73%;1,18;3,00;0,14;-6,00;6;4,00;-1,00;4,00;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,03;22,91
USDJPY;1m;cortos / SELL;TP/SL;1;09:55;33;parcial_1.1_1.5_2.0;1,10;1,50;2,00;;;21;21;47,62%;1,06;0,67;0,03;-5,13;5;1,17;-1,00;1,17;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,01;20,15
USDJPY;1m;cortos / SELL;TP/SL;1;09:55;33;parcial_1.5_2.0_3.0;1,50;2,00;3,00;;;21;21;47,62%;1,21;2,33;0,11;-5,50;5;1,33;-1,00;1,33;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;0,02;22,88
USDJPY;1m;cortos / SELL;TP/SL;1;09:55;33;parcial_2.0_3.0_4.0;2,00;3,00;4,00;;;21;21;38,10%;0,95;-0,67;-0,03;-7,00;7;1,54;-1,00;1,54;2026-04-20 06:00:00 JST;2026-08-13 01:05:00 JST;119030;114,80;3,77;True;0,18;-0,01;17,46
