ranking_temporalidad;activo;temporalidad;direccion_analizada;familia_salida;entryLeadBars;hora_referencia_jst;sl_pips;hora_cierre_objetivo_jst;total_trades;win_rate;profit_factor;r_neto_total;promedio_r_por_trade;max_drawdown_r;racha_max_perdidas;score_robustez;avg_r_ganadoras;avg_r_perdedoras;payoff_ratio;cantidad_velas;dias_historico;meses_historico;trades_por_1000_velas;r_por_1000_velas
1;USDJPY;1m;cortos / SELL;Reversal Original;13;09:55;5,00;10:15;24;66,67%;4,77;27,36;1,14;-3,22;2;73,43;2,16;-0,91;2,38;119030;114,80;3,77;0,20;0,23
2;USDJPY;1m;cortos / SELL;Reversal Original;14;09:55;5,00;10:15;24;66,67%;4,75;27,98;1,17;-3,42;2;73,18;2,21;-0,93;2,38;119030;114,80;3,77;0,20;0,24
3;USDJPY;1m;cortos / SELL;Reversal Original;14;09:55;5,00;10:20;24;65,22%;4,67;27,92;1,16;-3,56;2;72,44;2,37;-0,95;2,49;119030;114,80;3,77;0,20;0,23
4;USDJPY;1m;cortos / SELL;Reversal Original;13;09:55;5,00;10:20;24;58,33%;4,40;27,30;1,14;-3,36;2;70,39;2,52;-0,80;3,15;119030;114,80;3,77;0,20;0,23
5;USDJPY;1m;cortos / SELL;Reversal Original;15;09:55;5,00;10:15;24;62,50%;4,33;27,42;1,14;-4,24;5;69,10;2,38;-0,92;2,60;119030;114,80;3,77;0,20;0,23
6;USDJPY;1m;cortos / SELL;Reversal Original;15;09:55;5,00;10:20;24;58,33%;4,31;27,50;1,15;-4,30;6;68,95;2,56;-0,83;3,08;119030;114,80;3,77;0,20;0,23
7;USDJPY;1m;cortos / SELL;Reversal Original;12;09:55;5,00;10:15;24;58,33%;4,26;26,28;1,09;-4,02;5;68,61;2,45;-0,81;3,04;119030;114,80;3,77;0,20;0,22
8;USDJPY;1m;cortos / SELL;Reversal Original;11;09:55;5,00;10:15;24;58,33%;3,93;25,00;1,04;-3,54;5;66,20;2,40;-0,85;2,81;119030;114,80;3,77;0,20;0,21
9;USDJPY;1m;cortos / SELL;Reversal Original;12;09:55;5,00;10:20;24;54,17%;3,93;26,36;1,10;-4,02;5;65,97;2,72;-0,82;3,32;119030;114,80;3,77;0,20;0,22
10;USDJPY;1m;cortos / SELL;Reversal Original;10;09:55;5,00;10:15;24;58,33%;3,84;23,66;0,99;-4,24;5;64,51;2,29;-0,83;2,74;119030;114,80;3,77;0,20;0,20
11;USDJPY;1m;cortos / SELL;Reversal Original;13;09:55;5,00;10:25;24;58,33%;3,67;23,50;0,98;-3,80;5;63,37;2,31;-0,88;2,62;119030;114,80;3,77;0,20;0,20
12;USDJPY;1m;cortos / SELL;Reversal Original;11;09:55;5,00;10:20;24;47,83%;3,59;24,92;1,04;-3,68;5;63,34;3,14;-0,80;3,91;119030;114,80;3,77;0,20;0,21
13;USDJPY;1m;cortos / SELL;Reversal Original;14;09:55;5,00;10:25;24;54,17%;3,62;23,60;0,98;-4,02;6;62,86;2,51;-0,82;3,06;119030;114,80;3,77;0,20;0,20
14;USDJPY;1m;cortos / SELL;Reversal Original;1;09:55;10,00;10:15;24;54,17%;4,78;10,18;0,42;-1,01;4;62,60;0,99;-0,24;4,05;119030;114,80;3,77;0,20;0,09
15;USDJPY;1m;cortos / SELL;Reversal Original;10;09:55;5,00;10:20;24;50,00%;3,50;23,74;0,99;-4,26;6;61,87;2,77;-0,79;3,50;119030;114,80;3,77;0,20;0,20
16;USDJPY;1m;cortos / SELL;Reversal Original;1;09:55;10,00;10:20;24;58,33%;4,21;12,15;0,51;-1,22;2;59,62;1,14;-0,38;3,01;119030;114,80;3,77;0,20;0,10
17;USDJPY;1m;cortos / SELL;Reversal Original;15;09:55;5,00;10:25;24;54,17%;3,33;23,02;0,96;-4,90;6;59,35;2,53;-0,90;2,81;119030;114,80;3,77;0,20;0,19
19;USDJPY;1m;cortos / SELL;Reversal Original;12;09:55;5,00;10:25;24;58,33%;3,33;22,30;0,93;-4,58;5;58,92;2,28;-0,96;2,38;119030;114,80;3,77;0,20;0,19
20;USDJPY;1m;cortos / SELL;Reversal Original;14;09:55;5,00;10:10;24;62,50%;3,51;19,28;0,80;-3,68;5;58,24;1,80;-0,85;2,11;119030;114,80;3,77;0,20;0,16
