ranking_global;activo;temporalidad;familia_salida;entryLeadBars;tipo_tp;sl_pips;hora_cierre_objetivo_jst;trade_num;direccion;event_date;signal_time;entry_time;exit_time;entry_price;exit_price;sl_original;risk_init;r_trade;motivo_salida
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;1;SELL;2026-04-20;2026-04-20 09:42:00 JST;2026-04-20 09:43:00 JST;2026-04-20 10:16:00 JST;159,01;158,98;159,06;0,05;0,46;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;2;SELL;2026-04-24;2026-04-24 09:42:00 JST;2026-04-24 09:43:00 JST;2026-04-24 10:16:00 JST;159,77;159,79;159,82;0,05;-0,26;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;3;SELL;2026-04-30;2026-04-30 09:42:00 JST;2026-04-30 09:43:00 JST;2026-04-30 09:53:00 JST;160,20;160,25;160,25;0,05;-1,00;sl
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;4;SELL;2026-05-05;2026-05-05 09:42:00 JST;2026-05-05 09:43:00 JST;2026-05-05 10:16:00 JST;157,24;157,24;157,29;0,05;0,04;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;5;SELL;2026-05-08;2026-05-08 09:42:00 JST;2026-05-08 09:43:00 JST;2026-05-08 09:54:00 JST;156,92;156,97;156,97;0,05;-1,00;sl
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;6;SELL;2026-05-15;2026-05-15 09:42:00 JST;2026-05-15 09:43:00 JST;2026-05-15 09:53:00 JST;158,43;158,48;158,48;0,05;-1,00;sl
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;7;SELL;2026-05-20;2026-05-20 09:42:00 JST;2026-05-20 09:43:00 JST;2026-05-20 10:16:00 JST;159,06;159,04;159,11;0,05;0,38;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;8;SELL;2026-05-25;2026-05-25 09:42:00 JST;2026-05-25 09:43:00 JST;2026-05-25 10:16:00 JST;158,93;158,83;158,98;0,05;1,98;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;9;SELL;2026-05-29;2026-05-29 09:42:00 JST;2026-05-29 09:43:00 JST;2026-05-29 10:16:00 JST;159,29;159,26;159,34;0,05;0,42;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;10;SELL;2026-06-05;2026-06-05 09:42:00 JST;2026-06-05 09:43:00 JST;2026-06-05 10:16:00 JST;159,97;159,92;160,02;0,05;0,92;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;11;SELL;2026-06-10;2026-06-10 09:42:00 JST;2026-06-10 09:43:00 JST;2026-06-10 10:16:00 JST;160,39;160,34;160,44;0,05;1,00;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;12;SELL;2026-06-15;2026-06-15 09:42:00 JST;2026-06-15 09:43:00 JST;2026-06-15 09:51:00 JST;159,97;160,02;160,02;0,05;-1,00;sl
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;13;SELL;2026-06-19;2026-06-19 09:42:00 JST;2026-06-19 09:43:00 JST;2026-06-19 10:16:00 JST;161,14;161,11;161,19;0,05;0,46;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;14;SELL;2026-06-25;2026-06-25 09:42:00 JST;2026-06-25 09:43:00 JST;2026-06-25 10:16:00 JST;161,74;161,71;161,79;0,05;0,60;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;15;SELL;2026-06-30;2026-06-30 09:42:00 JST;2026-06-30 09:43:00 JST;2026-06-30 09:53:00 JST;161,96;162,01;162,01;0,05;-1,00;sl
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;16;SELL;2026-07-03;2026-07-03 09:42:00 JST;2026-07-03 09:43:00 JST;2026-07-03 10:16:00 JST;161,42;161,07;161,47;0,05;6,94;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;17;SELL;2026-07-10;2026-07-10 09:42:00 JST;2026-07-10 09:43:00 JST;2026-07-10 10:16:00 JST;162,33;161,71;162,38;0,05;12,42;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;18;SELL;2026-07-15;2026-07-15 09:42:00 JST;2026-07-15 09:43:00 JST;2026-07-15 10:16:00 JST;162,21;161,97;162,26;0,05;4,74;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;19;SELL;2026-07-20;2026-07-20 09:42:00 JST;2026-07-20 09:43:00 JST;2026-07-20 10:16:00 JST;162,42;162,35;162,47;0,05;1,36;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;20;SELL;2026-07-24;2026-07-24 09:42:00 JST;2026-07-24 09:43:00 JST;2026-07-24 10:16:00 JST;163,90;163,85;163,95;0,05;0,88;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;21;SELL;2026-07-30;2026-07-30 09:42:00 JST;2026-07-30 09:43:00 JST;2026-07-30 10:16:00 JST;163,45;163,45;163,50;0,05;0,12;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;22;SELL;2026-07-31;2026-07-31 09:42:00 JST;2026-07-31 09:43:00 JST;2026-07-31 09:46:00 JST;160,51;160,56;160,56;0,05;-1,00;sl
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;23;SELL;2026-08-05;2026-08-05 09:42:00 JST;2026-08-05 09:43:00 JST;2026-08-05 10:16:00 JST;157,64;157,55;157,69;0,05;1,90;cierre_horario
1;USDJPY;1m;Reversal Original;13;;5,00;10:15;24;SELL;2026-08-10;2026-08-10 09:42:00 JST;2026-08-10 09:43:00 JST;2026-08-10 10:03:00 JST;157,93;157,98;157,98;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;1;SELL;2026-04-20;2026-04-20 09:41:00 JST;2026-04-20 09:42:00 JST;2026-04-20 10:16:00 JST;159,02;158,98;159,07;0,05;0,74;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;2;SELL;2026-04-24;2026-04-24 09:41:00 JST;2026-04-24 09:42:00 JST;2026-04-24 10:16:00 JST;159,76;159,79;159,81;0,05;-0,46;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;3;SELL;2026-04-30;2026-04-30 09:41:00 JST;2026-04-30 09:42:00 JST;2026-04-30 09:53:00 JST;160,17;160,22;160,22;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;4;SELL;2026-05-05;2026-05-05 09:41:00 JST;2026-05-05 09:42:00 JST;2026-05-05 10:16:00 JST;157,24;157,24;157,29;0,05;0,04;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;5;SELL;2026-05-08;2026-05-08 09:41:00 JST;2026-05-08 09:42:00 JST;2026-05-08 09:54:00 JST;156,90;156,95;156,95;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;6;SELL;2026-05-15;2026-05-15 09:41:00 JST;2026-05-15 09:42:00 JST;2026-05-15 09:54:00 JST;158,44;158,49;158,49;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;7;SELL;2026-05-20;2026-05-20 09:41:00 JST;2026-05-20 09:42:00 JST;2026-05-20 10:16:00 JST;159,05;159,04;159,10;0,05;0,22;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;8;SELL;2026-05-25;2026-05-25 09:41:00 JST;2026-05-25 09:42:00 JST;2026-05-25 10:16:00 JST;158,91;158,83;158,97;0,05;1,78;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;9;SELL;2026-05-29;2026-05-29 09:41:00 JST;2026-05-29 09:42:00 JST;2026-05-29 10:16:00 JST;159,29;159,26;159,34;0,05;0,52;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;10;SELL;2026-06-05;2026-06-05 09:41:00 JST;2026-06-05 09:42:00 JST;2026-06-05 10:16:00 JST;159,96;159,92;160,01;0,05;0,78;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;11;SELL;2026-06-10;2026-06-10 09:41:00 JST;2026-06-10 09:42:00 JST;2026-06-10 10:16:00 JST;160,39;160,34;160,44;0,05;0,92;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;12;SELL;2026-06-15;2026-06-15 09:41:00 JST;2026-06-15 09:42:00 JST;2026-06-15 09:51:00 JST;159,96;160,01;160,01;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;13;SELL;2026-06-19;2026-06-19 09:41:00 JST;2026-06-19 09:42:00 JST;2026-06-19 10:16:00 JST;161,15;161,11;161,20;0,05;0,76;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;14;SELL;2026-06-25;2026-06-25 09:41:00 JST;2026-06-25 09:42:00 JST;2026-06-25 10:16:00 JST;161,74;161,71;161,79;0,05;0,64;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;15;SELL;2026-06-30;2026-06-30 09:41:00 JST;2026-06-30 09:42:00 JST;2026-06-30 09:53:00 JST;161,95;162,00;162,00;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;16;SELL;2026-07-03;2026-07-03 09:41:00 JST;2026-07-03 09:42:00 JST;2026-07-03 10:16:00 JST;161,43;161,07;161,48;0,05;7,14;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;17;SELL;2026-07-10;2026-07-10 09:41:00 JST;2026-07-10 09:42:00 JST;2026-07-10 10:16:00 JST;162,37;161,71;162,42;0,05;13,16;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;18;SELL;2026-07-15;2026-07-15 09:41:00 JST;2026-07-15 09:42:00 JST;2026-07-15 10:16:00 JST;162,19;161,97;162,24;0,05;4,48;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;19;SELL;2026-07-20;2026-07-20 09:41:00 JST;2026-07-20 09:42:00 JST;2026-07-20 10:16:00 JST;162,41;162,35;162,46;0,05;1,18;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;20;SELL;2026-07-24;2026-07-24 09:41:00 JST;2026-07-24 09:42:00 JST;2026-07-24 10:16:00 JST;163,90;163,85;163,95;0,05;0,84;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;21;SELL;2026-07-30;2026-07-30 09:41:00 JST;2026-07-30 09:42:00 JST;2026-07-30 10:16:00 JST;163,48;163,45;163,53;0,05;0,64;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;22;SELL;2026-07-31;2026-07-31 09:41:00 JST;2026-07-31 09:42:00 JST;2026-07-31 09:46:00 JST;160,52;160,57;160,57;0,05;-1,00;sl
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;23;SELL;2026-08-05;2026-08-05 09:41:00 JST;2026-08-05 09:42:00 JST;2026-08-05 10:16:00 JST;157,63;157,55;157,68;0,05;1,60;cierre_horario
2;USDJPY;1m;Reversal Original;14;;5,00;10:15;24;SELL;2026-08-10;2026-08-10 09:41:00 JST;2026-08-10 09:42:00 JST;2026-08-10 10:03:00 JST;157,92;157,97;157,97;0,05;-1,00;sl
3;USDJPY;1m;Reversal Original;14;;5,00;10:20;1;SELL;2026-04-20;2026-04-20 09:41:00 JST;2026-04-20 09:42:00 JST;2026-04-20 10:21:00 JST;159,02;158,97;159,07;0,05;1,00;cierre_horario
